"","X","發生時間","發生地點","死亡受傷人數","車種","year","monthday","month","day_time","day","time","death","injured","country","country_region","city","county","district"
"921",921,"105年08月03日 09時59分","高雄市路竹區村路科一路前0公尺數中山南路路口","死亡1;受傷1","普通重型-機車;普通重型-機車",105,"08月03日 09時59分",8,"03日 09時59分",3,"9時59分",1,1,"高雄市路竹區村路科一路前0公尺數中山南路路口",NA,"路竹","高 雄 市","路 竹 區"
"922",922,"105年08月03日 11時41分","苗栗縣竹南鎮大埔里仁愛路科專五路口(附近)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"08月03日 11時41分",8,"03日 11時41分",3,"11時41分",1,0,"苗栗","竹南",NA,"苗 栗 縣","竹 南 鎮"
"923",923,"105年08月03日 11時51分","新北市板橋區館前西路前0公尺數南門街路口","死亡1;受傷0","自用-小貨車;行人-人",105,"08月03日 11時51分",8,"03日 11時51分",3,"11時51分",1,0,"新北市板橋區館前西路前0公尺數南門街路口",NA,"板橋","新 北 市","板 橋 區"
"924",924,"105年08月03日 16時25分","高雄市大寮區濃一街前0公尺數前(附近)前側附近潮寮支11右分15左分5電桿前","死亡1;受傷0","自用-大貨車;腳踏自行車-慢車",105,"08月03日 16時25分",8,"03日 16時25分",3,"16時25分",1,0,"高雄市大寮區濃一街前0公尺數前(附近)前側附近潮寮支11右分15左分5電桿前",NA,"大寮","高 雄 市","大 寮 區"
"925",925,"105年08月03日 23時45分","臺南市東區東門路二段448號","死亡1;受傷1","普通重型-機車;腳踏自行車-慢車",105,"08月03日 23時45分",8,"03日 23時45分",3,"23時45分",1,1,"臺南市東區東門路二段448號",NA,"東","臺 南 市","東 區 東"
"926",926,"105年08月04日 05時18分","新竹縣竹北市中正西路2003號","死亡1;受傷0","行人-人;自用-小貨車",105,"08月04日 05時18分",8,"04日 05時18分",4,"5時18分",1,0,"新竹","竹北","中正西路2003號","新 竹 縣","竹 北 市"
"927",927,"105年08月04日 08時45分","臺南市安南區安通路五段電線桿安西高幹35-1號前(附近)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"08月04日 08時45分",8,"04日 08時45分",4,"8時45分",1,0,"臺南市安南區安通路五段電線桿安西高幹35-1號前(附近)",NA,"安南","臺 南 市","安 南 區"
"928",928,"105年08月04日 08時50分","臺北市北投區中央北路1段12號前0公尺數12號","死亡1;受傷1","普通重型-機車;行人-人",105,"08月04日 08時50分",8,"04日 08時50分",4,"8時50分",1,1,"臺北市北投區中央北路1段12號前0公尺數12號",NA,"北投","臺 北 市","北 投 區"
"929",929,"105年08月04日 09時45分","新北市中和區連城路前0公尺數和城路路口","死亡1;受傷0","普通重型-機車",105,"08月04日 09時45分",8,"04日 09時45分",4,"9時45分",1,0,"新北市中和區連城路前0公尺數和城路路口",NA,"中和","新 北 市","中 和 區"
"930",930,"105年08月04日 10時41分","新北市五股區新五路2段129號前0公尺數129號","死亡1;受傷0","普通重型-機車;自用-小貨車",105,"08月04日 10時41分",8,"04日 10時41分",4,"10時41分",1,0,"新北市五股區新五路2段129號前0公尺數129號",NA,"五股","新 北 市","五 股 區"
"931",931,"105年08月04日 10時57分","臺南市官田區隆田里中華路一段142號臺1線304公里500公尺處南向慢車道","死亡1;受傷1","普通重型-機車;普通重型-機車",105,"08月04日 10時57分",8,"04日 10時57分",4,"10時57分",1,1,"臺南市官田區隆田里中華路一段142號臺1線304公里500公尺處南向慢車道",NA,"官田","臺 南 市","官 田 區"
"932",932,"105年08月04日 11時08分","高雄市仁武區村鳳仁路21之號前0公尺數21之38號","死亡1;受傷1","自用-曳引車;普通重型-機車;普通重型-機車",105,"08月04日 11時08分",8,"04日 11時08分",4,"11時08分",1,1,"高雄市仁武區村鳳仁路21之號前0公尺數21之38號",NA,"仁武","高 雄 市","仁 武 區"
"933",933,"105年08月04日 14時58分","苗栗縣苑裡鎮山柑里苗140線與苗121線路口處(附近)","死亡1;受傷0","自用-小客車;普通重型-機車",105,"08月04日 14時58分",8,"04日 14時58分",4,"14時58分",1,0,"苗栗","苑裡",NA,"苗 栗 縣","苑 裡 鎮"
"934",934,"105年08月04日 23時49分","臺中市龍井區國道三號183公里800公尺處北向輔助車道","死亡1;受傷0","自用-小客車;營業用-半聯結車",105,"08月04日 23時49分",8,"04日 23時49分",4,"23時49分",1,0,"臺中市龍井區國道三號183公里800公尺處北向輔助車道",NA,"龍井","臺 中 市","龍 井 區"
"935",935,"105年08月05日 03時25分","嘉義市東區大雅路2段雅竹路(口)","死亡1;受傷0","普通重型-機車",105,"08月05日 03時25分",8,"05日 03時25分",5,"3時25分",1,0,"嘉義市東區大雅路2段雅竹路(口)",NA,"東","嘉 義 市","東 區 大"
"936",936,"105年08月05日 06時34分","嘉義縣竹崎鄉復金村19鄰白樹腳產業道路(附近)","死亡1;受傷0","普通輕型-機車",105,"08月05日 06時34分",8,"05日 06時34分",5,"6時34分",1,0,"嘉義","竹崎",NA,"嘉 義 縣","竹 崎 鄉"
"937",937,"105年08月05日 10時30分","雲林縣古坑鄉永昌村TS12C97號電桿附近(產業道路)(永光所轄)(附近)","死亡1;受傷0","普通重型-機車",105,"08月05日 10時30分",8,"05日 10時30分",5,"10時30分",1,0,"雲林","古坑",NA,"雲 林 縣","古 坑 鄉"
"938",938,"105年08月05日 15時30分","臺南市楠西區鹿田里臺3線368公里400公尺北向外側路肩(附近)臺3線368公里400公尺處北向外側車道","死亡1;受傷1","自用-小貨車;自用-小貨車",105,"08月05日 15時30分",8,"05日 15時30分",5,"15時30分",1,1,"臺南市楠西區鹿田里臺3線368公里400公尺北向外側路肩(附近)臺3線368公里400公尺處北向外側車道",NA,"楠西","臺 南 市","楠 西 區"
"939",939,"105年08月05日 16時30分","彰化縣彰化市林森路金馬路(口)(莿桐所轄區)","死亡1;受傷0","自用-大貨車;普通重型-機車",105,"08月05日 16時30分",8,"05日 16時30分",5,"16時30分",1,0,"彰化","彰化","林森路金馬路(口)(莿桐所轄","彰 化 縣","彰 化 市"
"940",940,"105年08月06日 04時30分","臺中市后里區后科路三段(后科路三段2號后里污水處理廠前)(附近)","死亡1;受傷0","自用-小客車",105,"08月06日 04時30分",8,"06日 04時30分",6,"4時30分",1,0,"臺中市后里區后科路三段(后科路三段2號后里污水處理廠前)(附近)",NA,"后里","臺 中 市","后 里 區"
"941",941,"105年08月06日 07時45分","臺中市龍井區麗水里龍港路226巷臨港路(口)","死亡1;受傷0","普通重型-機車;營業用-半聯結車",105,"08月06日 07時45分",8,"06日 07時45分",6,"7時45分",1,0,"臺中市龍井區麗水里龍港路226巷臨港路(口)",NA,"龍井","臺 中 市","龍 井 區"
"942",942,"105年08月06日 10時12分","桃園市龍潭區聖亭路梅龍路(口)(U105080053聖亭所轄區)(附近)","死亡1;受傷1","普通重型-機車;普通重型-機車",105,"08月06日 10時12分",8,"06日 10時12分",6,"10時12分",1,1,"桃園市龍潭區聖亭路梅龍路(口)(U105080053聖亭所轄區)(附近)",NA,"龍潭","桃 園 市","龍 潭 區"
"943",943,"105年08月06日 17時04分","臺北市萬華區和平西路3段前0公尺數與康定路口","死亡1;受傷1","民營公車-大客車;行人-人;行人-人",105,"08月06日 17時04分",8,"06日 17時04分",6,"17時04分",1,1,"臺北市萬華區和平西路3段前0公尺數與康定路口",NA,"萬華","臺 北 市","萬 華 區"
"944",944,"105年08月06日 22時57分","雲林縣虎尾鎮崛頭里崛頭86之1號旁路口(附近)","死亡1;受傷0","普通重型-機車;自用-小客車",105,"08月06日 22時57分",8,"06日 22時57分",6,"22時57分",1,0,"雲林","虎尾",NA,"雲 林 縣","虎 尾 鎮"
"945",945,"105年08月07日 08時10分","新北市三重區重新橋機車道路前0公尺數(往三重方向)","死亡1;受傷0","普通重型-機車",105,"08月07日 08時10分",8,"07日 08時10分",7,"8時10分",1,0,"新北市三重區重新橋機車道路前0公尺數(往三重方向)",NA,"三重","新 北 市","三 重 區"
"946",946,"105年08月07日 10時13分","高雄市旗津區過港隧道旗津往前鎮方向機車道1030公尺處(附近)","死亡1;受傷0","普通重型-機車",105,"08月07日 10時13分",8,"07日 10時13分",7,"10時13分",1,0,"高雄市旗津區過港隧道旗津往前",NA,"旗津","高 雄 市","旗 津 區"
